DATE, TIME, USER, ACTION
12-11-2024,12:42,ADMIN,Logged IN
12-11-2024,12:43,ADMIN,Forced [TEST001] to log OUT)
12-11-2024,12:43,ADMIN,Forced [MIST001] to log OUT)
12-11-2024,12:42,ADMIN,Logged OUT
12-11-2024,12:49,ADMIN,Logged IN
12-11-2024,12:49,ADMIN,Logged OUT
12-11-2024,12:51,ADMIN,Logged IN
12-11-2024,12:51,ADMIN,Updated user details for IOIN001
12-11-2024,12:51,ADMIN,Updated user details for IOIN001
12-11-2024,12:51,ADMIN,Deleted user [TEST001]
12-11-2024,13:18,ADMIN,Logged IN
12-11-2024,13:18,ADMIN,Created new user [TETE001]
12-11-2024,13:18,ADMIN,Deleted user [TETE001]
12-11-2024,13:20,ADMIN,Created new user [TEST001]
12-11-2024,13:18,ADMIN,Deleted user [TEST001]
12-11-2024,13:18,ADMIN,Updated user details for VIEP001
12-11-2024,13:18,ADMIN,Logged OUT
12-11-2024,13:24,ADMIN,Logged IN
12-11-2024,13:24,ADMIN,Updated user details for LERA001
12-11-2024,13:24,ADMIN,Updated user details for LERA001
12-11-2024,13:24,ADMIN,Logged OUT
12-11-2024,13:29,ADMIN,Logged IN
12-11-2024,13:29,ADMIN,Logged OUT
12-11-2024,13:42,ADMIN,Logged IN
12-11-2024,13:42,ADMIN,Updated user details for LERA001
12-11-2024,13:42,ADMIN,Logged OUT
12-11-2024,13:43,LERA001,Logged IN
12-11-2024,13:43,LERA001,Logged OUT
12-11-2024,13:43,PEER001,Logged IN
12-11-2024,13:43,PEER001,Updated user details for PEER001
12-11-2024,13:43,PEER001,Logged OUT
12-11-2024,13:54,ADMIN,Logged IN
12-11-2024,13:54,ADMIN,Logged OUT
12-11-2024,13:57,ADMIN,Logged IN
12-11-2024,13:57,ADMIN,Logged OUT
12-11-2024,13:58,ADMIN,Logged IN
12-11-2024,13:58,ADMIN,Logged OUT
12-11-2024,13:59,ADMIN,Logged IN
12-11-2024,13:59,ADMIN,Logged OUT
18-11-2024,11:15,ADMIN,Logged IN
18-11-2024,11:15,ADMIN,Logged OUT
18-11-2024,11:21,ADMIN,Logged IN
18-11-2024,11:21,ADMIN,Logged OUT
18-11-2024,11:22,ADMIN,Logged IN
18-11-2024,11:22,ADMIN,Logged OUT
18-11-2024,11:27,ADMIN,Logged IN
18-11-2024,11:27,ADMIN,Forced [TAAT001] to log OUT)
18-11-2024,11:27,ADMIN,Logged OUT
18-11-2024,11:32,ADMIN,Logged IN
18-11-2024,11:32,ADMIN,Forced [PEST001] to log OUT)
18-11-2024,11:32,ADMIN,Logged OUT
18-11-2024,11:41,ADMIN,Logged IN
18-11-2024,11:41,ADMIN,Forced [IOIN001] to log OUT)
18-11-2024,11:41,ADMIN,Logged OUT
18-11-2024,11:43,ADMIN,Logged IN
18-11-2024,11:43,ADMIN,Forced [NIEW001] to log OUT)
18-11-2024,11:43,ADMIN,Logged OUT
19-11-2024,11:29,ADMIN,Logged IN
19-11-2024,11:29,ADMIN,Logged OUT
19-11-2024,11:30,ADMIN,Logged IN
19-11-2024,11:30,ADMIN,Logged OUT
19-11-2024,11:41,ADMIN,Logged IN
19-11-2024,11:41,ADMIN,Logged OUT
19-11-2024,11:45,ADMIN,Logged IN
19-11-2024,11:46,ADMIN,Forced [LERA001] to log OUT)
19-11-2024,11:45,ADMIN,Logged OUT
19-11-2024,11:52,ADMIN,Logged IN
19-11-2024,11:52,ADMIN,Logged OUT
19-11-2024,11:56,ADMIN,Logged IN
19-11-2024,11:56,ADMIN,Logged OUT
19-11-2024,12:01,ADMIN,Logged IN
19-11-2024,12:01,ADMIN,Logged OUT
19-11-2024,12:04,ADMIN,Logged IN
19-11-2024,12:04,ADMIN,Logged OUT
19-11-2024,12:09,ADMIN,Logged IN
19-11-2024,12:09,ADMIN,Logged OUT
19-11-2024,12:14,ADMIN,Logged IN
19-11-2024,12:14,ADMIN,Logged OUT
19-11-2024,12:22,ADMIN,Logged IN
19-11-2024,12:22,ADMIN,Logged OUT
19-11-2024,12:24,ADMIN,Logged IN
19-11-2024,12:25,MIST001,Logged IN
19-11-2024,12:25,MIST001,Logged OUT
19-11-2024,12:27,ADMIN,Logged IN
19-11-2024,12:27,ADMIN,Logged OUT
19-11-2024,12:41,ADMIN,Logged IN
