DATE, TIME, USER, ACTION
30-10-24,11:32,MIST001,Logged IN
30-10-24,11:33,MIST001,Edited details from user [PEER001]
30-10-24,11:33,MIST001,Logged OUT
30-10-24,11:36,PEER001,Logged IN
30-10-24,11:36,PEER001,Edited details
30-10-24,11:36,PEER001,Logged OUT
30-10-24,11:37,PEER001,Logged IN
30-10-24,11:37,PEER001,Logged OUT
30-10-24,11:37,ADMIN,Logged IN
30-10-24,11:37,ADMIN,Logged OUT
30-10-24,11:45,ADMIN,Logged IN
30-10-24,11:45,ADMIN,Logged OUT
30-10-24,11:45,ADMIN,Logged IN
30-10-24,11:45,ADMIN,Logged OUT
30-10-24,11:45,PEER001,Logged IN
30-10-24,11:45,PEER001,Logged OUT
30-10-24,11:46,PEER001,Logged IN
30-10-24,11:46,PEER001,Logged OUT
